n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
108 , 14934.345 , 913.939 , 1 
109 , 16227.45 , 40.0 , 1 
110 , 17418.461 , 1245.482 , 1 
111 , 15597.643 , 40.0 , 1 
112 , 15586.665 , 339.942 , 1 
113 , 14439.492 , 6000.0 , 1 
114 , 15493.288 , 6000.0 , 1 
115 , 15624.584 , 6000.0 , 1 
116 , 15245.235 , 6000.0 , 1 
117 , 14604.409 , 6000.0 , 1 
118 , 13850.624 , 6000.0 , 1 
119 , 13070.4 , 6000.0 , 1 
120 , 12312.289 , 40.0 , 1 
121 , 15820.9 , 816.126 , 1 
122 , 15932.768 , 1509.833 , 1 
123 , 14331.507 , 6000.0 , 1 
124 , 14440.311 , 6000.0 , 1 
125 , 14104.177 , 6000.0 , 1 
126 , 13540.469 , 40.0 , 1 
127 , 15875.479 , 64.0 , 1 
128 , 16377.152 , 44.8 , 1 
129 , 15913.224 , 720.839 , 1 
130 , 13986.127 , 6000.0 , 1 
131 , 15234.002 , 6000.0 , 1 
132 , 15483.588 , 6000.0 , 1 
133 , 15175.537 , 40.0 , 1 
134 , 15950.547 , 369.063 , 1 
135 , 15176.114 , 40.0 , 1 
136 , 14510.976 , 303.674 , 1 
137 , 13106.35 , 197.388 , 1 
138 , 11884.214 , 5658.208 , 1 
139 , 14113.782 , 6000.0 , 1 
140 , 15492.136 , 6000.0 , 1 
141 , 15800.98 , 1154.922 , 1 
142 , 14048.81 , 1847.875 , 1 
143 , 11533.381 , 1293.512 , 1 
144 , 10466.0 , 40.0 , 1 
145 , 11175.894 , 1390.718 , 1 
146 , 9184.886 , 40.0 , 1 
147 , 9587.94 , 64.0 , 1 
148 , 9327.8 , 44.8 , 1 
149 , 8777.693 , 1266.758 , 1 
150 , 6387.305 , 6000.0 , 1 
151 , 11892.234 , 40.0 , 1 
152 , 10956.192 , 40.0 , 1 
153 , 9932.596 , 40.0 , 1 
154 , 8909.103 , 546.084 , 1 
155 , 7237.774 , 40.0 , 1 
156 , 6705.959 , 523.392 , 1 
157 , 5437.992 , 340.205 , 1 
158 , 4766.082 , 40.0 , 1 
159 , 4603.951 , 375.86 , 1 
160 , 3839.543 , 2752.687 , 1 
161 , 5889.802 , 6000.0 , 0 
162 , 12140.868 , 6000.0 , 1 
163 , 15271.569 , 4200.0 , 1 
164 , 13624.062 , 6000.0 , 1 
165 , 15206.331 , 40.0 , 1 
166 , 14508.372 , 558.664 , 1 
167 , 12735.311 , 6000.0 , 1 
168 , 14849.94 , 6000.0 , 1 
169 , 15591.537 , 6000.0 , 1 
170 , 15547.495 , 40.0 , 1 
171 , 15810.024 , 1081.17 , 1 
172 , 13782.765 , 2000.165 , 1 
173 , 10815.104 , 6000.0 , 1 
174 , 13102.476 , 40.0 , 1 
175 , 13620.081 , 1240.84 , 1 
176 , 11615.424 , 6000.0 , 1 
177 , 13810.116 , 6000.0 , 1 
178 , 14644.239 , 40.0 , 1 
179 , 14988.078 , 40.0 , 1 
180 , 14475.425 , 1102.551 , 1 
181 , 12057.399 , 878.647 , 1 
182 , 10529.399 , 6000.0 , 1 
183 , 13567.546 , 6000.0 , 1 
184 , 14874.305 , 40.0 , 1 
185 , 14664.32 , 808.975 , 1 
