n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
140 , 10661.4252363 , 937.591 , 1 
141 , 14431.1572004 , 1500.146 , 1 
142 , 14583.9562494 , 1050.102 , 1 
143 , 13254.3317333 , 6000.0 , 1 
144 , 12595.0263698 , 40.0 , 1 
145 , 13860.9634896 , 1291.936 , 1 
146 , 14527.7389706 , 2390.082 , 1 
147 , 12491.8570476 , 6000.0 , 1 
148 , 9343.53707184 , 6000.0 , 1 
149 , 12202.204628 , 6000.0 , 1 
150 , 13474.8101058 , 6000.0 , 1 
151 , 13820.3845028 , 6000.0 , 1 
152 , 13642.7899775 , 4200.0 , 1 
153 , 13187.4121914 , 4590.667 , 1 
154 , 10014.0637617 , 40.0 , 1 
155 , 8345.54176225 , 715.656 , 1 
156 , 12747.1974134 , 1145.05 , 1 
157 , 13629.6759688 , 801.535 , 1 
158 , 12916.5199928 , 40.0 , 1 
159 , 12447.0582875 , 290.642 , 1 
160 , 12691.5481383 , 6000.0 , 1 
161 , 11887.5794565 , 3900.0 , 1 
162 , 14412.4527103 , 40.0 , 1 
163 , 11986.4090501 , 980.972 , 1 
164 , 12404.2511762 , 6000.0 , 1 
165 , 10759.347815 , 6000.0 , 1 
166 , 13599.1109282 , 6000.0 , 1 
167 , 14795.898056 , 4200.0 , 1 
168 , 15038.0832951 , 6000.0 , 1 
169 , 11821.8681933 , 6000.0 , 1 
170 , 12630.7254879 , 6000.0 , 1 
171 , 12762.2540637 , 6000.0 , 1 
172 , 12517.2030943 , 4200.0 , 1 
173 , 12077.6969504 , 6000.0 , 1 
174 , 9818.11544885 , 6000.0 , 1 
175 , 10202.2253712 , 6000.0 , 1 
176 , 10215.3061708 , 6000.0 , 1 
177 , 10024.8672563 , 4200.0 , 1 
178 , 9732.05532226 , 6000.0 , 1 
179 , 9317.30579973 , 6000.0 , 1 
180 , 9285.95911026 , 6000.0 , 1 
181 , 9114.78705616 , 6000.0 , 1 
182 , 8875.17169582 , 6000.0 , 1 
183 , 8609.35837239 , 6000.0 , 1 
184 , 8341.67803744 , 40.0 , 1 
185 , 8085.52419625 , 781.065 , 1 
186 , 14736.5327297 , 507.692 , 1 
187 , 16665.9386747 , 40.0 , 1 
188 , 17352.3669723 , 40.0 , 1 
189 , 17581.2398083 , 870.711 , 1 
190 , 16884.1590245 , 6000.0 , 1 
191 , 14571.1453915 , 40.0 , 1 
192 , 15461.0587596 , 40.0 , 1 
193 , 15080.6479346 , 40.0 , 1 
194 , 14167.5803928 , 865.303 , 1 
195 , 13006.01625 , 6000.0 , 1 
196 , 10628.2122227 , 40.0 , 1 
197 , 13951.6517383 , 684.606 , 1 
198 , 12967.48394 , 40.0 , 1 
199 , 10936.9581156 , 707.356 , 1 

 a,b = (0.4,0.25) 
101 , 8828.69359103 , 6000.0 , 1 
102 , 13088.5134488 , 4200.0 , 1 
103 , 14296.5810399 , 40.0 , 1 
104 , 11980.7836615 , 40.0 , 1 
105 , 12656.5964751 , 40.0 , 1 
106 , 11699.0525937 , 74.0 , 1 
107 , 10102.2525877 , 1066.409 , 1 
108 , 8357.06732621 , 6000.0 , 1 
109 , 7057.20751705 , 6000.0 , 1 
110 , 12780.2181512 , 6000.0 , 1 
111 , 14677.5511215 , 6000.0 , 1 
112 , 14663.595846 , 4200.0 , 1 
113 , 13790.9563874 , 40.0 , 1 
114 , 12349.6848153 , 71.565 , 1 
115 , 13382.1441264 , 2117.829 , 1 
116 , 12493.5974037 , 3917.984 , 1 
117 , 10272.8851844 , 6000.0 , 1 
118 , 10978.2760672 , 6000.0 , 1 
119 , 13504.4951578 , 40.0 , 1 
120 , 13890.8442328 , 594.117 , 1 
121 , 14490.7756434 , 1099.116 , 1 
122 , 12983.1970138 , 6000.0 , 1 
123 , 10762.8792292 , 6000.0 , 1 
124 , 14598.7822531 , 6000.0 , 1 
125 , 15465.0603886 , 6000.0 , 1 
126 , 14908.3795107 , 3900.0 , 1 
127 , 13767.0351645 , 6000.0 , 1 
128 , 12603.7696159 , 6000.0 , 1 
129 , 12309.6974033 , 40.0 , 1 
130 , 11546.3951673 , 226.981 , 1 
131 , 13374.7509159 , 419.915 , 1 
132 , 12751.8473111 , 2684.421 , 1 
133 , 11103.2936579 , 6000.0 , 1 
134 , 10438.3382135 , 6000.0 , 1 
135 , 14005.5271422 , 6000.0 , 1 
136 , 14810.2094459 , 6000.0 , 1 
